Code;Population;
SK0225556271;136;
SK0225556416;497;
SK0225580449;878;
SK0225580953;839;
SK0226512842;37706;
SK0226512915;1182;
SK0226512966;1429;
SK0226513008;1641;
SK0226513083;574;
SK0226513172;1234;
SK0226513245;262;
SK0226513466;2416;
SK0226513474;1672;
SK0226513563;1551;
SK0226513601;2083;
SK0226513687;688;
SK0226513741;2200;
SK0226513784;243;
SK0226513822;212;
SK0226518913;1371;
SK0226546640;820;
SK0226557480;491;
SK0226557510;626;
SK0226557552;339;
SK0226557561;150;
SK0226557579;488;
SK0226557595;154;
SK0226557609;151;
SK0226557633;480;
SK0226558222;144;
SK0226580856;454;
SK0226580864;147;
SK0227513881;43645;
SK0227513903;5035;
SK0227513911;1765;
SK0227513920;1265;
SK0227513938;495;
SK0227513946;1740;
SK0227513954;1773;
SK0227513962;1777;
SK0227513971;154;
SK0227513989;2428;
SK0227513997;15780;
SK0227514004;1074;
SK0227514012;617;
SK0227514021;1398;
SK0227514039;228;
SK0227514063;1754;
SK0227514071;3910;
SK0227514080;1054;
SK0227514098;531;
SK0227514101;516;
SK0227514110;1011;
SK0227514128;1754;
SK0227514136;3762;
SK0227514144;1165;
SK0227514179;720;
SK0227514187;1015;
SK0227514209;2074;
SK0227514217;297;
SK0227514225;3121;
SK0227514233;1899;
SK0227514241;1199;
SK0227514250;1156;
SK0227514268;4145;
SK0227514284;1535;
SK0227514292;2366;
SK0227514306;294;
SK0227514314;534;
SK0227514322;1377;
SK0227514331;1302;
SK0227514349;573;
SK0227514357;1250;
SK0227514365;745;
SK0227514373;1702;
SK0227514381;399;
SK0227514390;448;
SK0227514403;202;
SK0227514411;1218;
SK0227514420;1975;
SK0227514438;538;
SK0227514454;1727;
SK0227557706;590;
SK0227557714;573;
SK0228500348;840;
SK0228512851;6169;
SK0228512940;1896;
SK0228512958;1062;
SK0228513121;889;
SK0228513300;1215;
SK0228513318;919;
SK0228513326;3893;
SK0228513334;907;
SK0228513342;2016;
SK0228513377;502;
SK0228513407;423;
SK0228513610;17068;
SK0228513776;985;
SK0228513814;693;
SK0228557439;1181;
SK0228557447;734;
SK0228557471;1087;
SK0228557498;266;
SK0228557501;650;
SK0228557692;505;
SK0229505820;54107;
SK0229505838;874;
SK0229505854;730;
SK0229505935;778;
SK0229505943;3074;
SK0229505960;2198;
SK0229505978;1015;
SK0229506010;3294;
SK0229506028;425;
SK0229506036;2691;
SK0229506044;434;
SK0229506087;1670;
SK0229506095;1054;
SK0229506133;675;
SK0229506168;358;
SK0229506231;1236;
SK0229506273;779;
SK0229506281;6292;
SK0229506290;785;
SK0229506354;1869;
SK0229506371;432;
SK0229506478;1008;
SK0229506508;2401;
SK0229506532;1610;
SK0229506541;478;
SK0229506559;4177;
SK0229506567;3576;
SK0229506591;1328;
SK0229506605;834;
SK0229506613;3955;
SK0229506648;761;
SK0229506656;709;
SK0229545686;1700;
SK0229545741;3434;
SK0229546682;1215;
SK0229556475;1181;
SK0229581348;197;
SK0231501026;32287;
SK0231501034;1246;
SK0231501042;384;
SK0231501069;496;
SK0231501077;1118;
SK0231501085;1111;
SK0231501093;1202;
SK0231501107;425;
SK0231501115;2712;
SK0231501123;1623;
SK0231501140;7314;
SK0231501158;1399;
SK0231501166;1972;
SK0231501174;1802;
SK0231501182;1894;
SK0231501191;434;
SK0231501204;10470;
SK0231501212;715;
SK0231501221;144;
SK0231501239;3778;
SK0231501247;701;
SK0231501255;1136;
SK0231501263;1281;
SK0231501271;125;
SK0231501280;5037;
SK0231501301;1462;
SK0231501310;537;
SK0231501328;2671;
SK0231501336;708;
SK0231501344;1215;
SK0231501352;493;
SK0231501361;715;
SK0231501379;674;
SK0231501387;955;
SK0231501395;3272;
SK0231501409;531;
SK0231501417;2281;
SK0231501425;2407;
SK0231555819;178;
SK0231555827;331;
SK0231580911;459;
SK0232502031;31081;
SK0232502049;331;
SK0232502057;1186;
SK0232502065;638;
SK0232502073;214;
SK0232502090;323;
SK0232502103;292;
SK0232502111;945;
SK0232502120;725;
SK0232502154;933;
SK0232502162;402;
SK0232502171;562;
SK0232502189;544;
SK0232502197;895;
SK0232502201;242;
SK0232502219;387;
SK0232502227;1337;
SK0232502243;496;
SK0232502251;601;
SK0232502260;572;
SK0232502278;635;
SK0232502286;560;
SK0232502294;270;
SK0232502324;1471;
SK0232502332;1406;
SK0232502341;763;
SK0232502359;230;
SK0232502367;271;
SK0232502375;810;
SK0232502383;212;
SK0232502391;989;
SK0232502413;2069;
SK0232502421;2082;
SK0232502430;813;
SK0232502448;254;
SK0232502456;575;
SK0232502464;456;
SK0232502472;577;
SK0232502481;1061;
SK0232502499;654;
SK0232502502;162;
SK0232502511;472;
SK0232502537;174;
SK0232502570;1003;
SK0232502588;1441;
SK0232502596;929;
SK0232502600;514;
SK0232502618;443;
SK0232502626;495;
SK0232502634;128;
SK0232502642;1482;
SK0232502651;749;
SK0232502669;772;
SK0232502677;1209;
SK0232502693;1773;
SK0232502707;1402;
SK0232502715;650;
SK0232502723;453;
SK0232502731;621;
SK0232502740;318;
SK0232502758;223;
SK0232502766;1526;
SK0232502782;7069;
SK0232502791;363;
SK0232502804;1595;
SK0232502812;483;
SK0232502821;2808;
SK0232502847;359;
SK0232502863;3570;
SK0232502871;564;
SK0232502880;219;
